year,topic
2016,0
2016,-1
2016,12
2016,19
2016,8
2016,2
2016,7
2016,6
2016,6
2016,0
2016,7
2016,2
2016,-1
2016,1
2016,-1
2016,-1
2016,-1
2016,-1
2016,-1
2016,8
2016,3
2016,4
2016,1
2016,29
2016,18
2016,24
2016,26
2016,-1
2016,11
2016,19
2016,-1
2016,6
2016,24
2016,0
2016,5
2016,23
2016,15
2017,-1
2017,1
2017,-1
2017,4
2017,19
2017,5
2017,-1
2017,1
2017,4
2017,5
2017,6
2017,-1
2017,7
2017,17
2017,4
2017,6
2017,4
2017,6
2017,0
2017,0
2017,6
2017,13
2017,4
2017,1
2017,-1
2017,6
2017,7
2017,4
2017,6
2017,1
2017,18
2017,8
2017,11
2017,14
2017,15
2018,6
2018,4
2018,27
2018,-1
2018,28
2018,1
2018,9
2018,9
2018,-1
2018,3
2018,5
2018,-1
2018,-1
2018,-1
2018,10
2018,9
2018,1
2018,23
2018,23
2018,16
2018,-1
2018,-1
2018,0
2018,3
2018,7
2018,12
2018,-1
2018,-1
2018,13
2018,19
2018,6
2018,5
2018,-1
2018,-1
2018,15
2019,15
2019,1
2019,-1
2019,6
2019,0
2019,17
2019,2
2019,0
2019,4
2019,-1
2019,20
2019,18
2019,0
2019,-1
2019,3
2019,1
2019,6
2019,0
2019,17
2019,14
2019,21
2019,26
2019,27
2019,25
2019,5
2019,0
2019,0
2019,-1
2019,-1
2019,0
2019,21
2019,27
2019,8
2019,25
2019,22
2019,22
2020,8
2020,3
2020,1
2020,27
2020,17
2020,8
2020,-1
2020,18
2020,4
2020,-1
2020,-1
2020,8
2020,1
2020,-1
2020,-1
2020,22
2020,0
2020,9
2020,11
2020,-1
2020,3
2020,4
2020,9
2020,9
2020,-1
2020,3
2020,6
2020,25
2020,22
2020,12
2020,0
2020,25
2020,-1
2020,5
2020,19
2021,10
2021,10
2021,8
2021,-1
2021,29
2021,2
2021,12
2021,12
2021,3
2021,2
2021,5
2021,11
2021,29
2021,5
2021,-1
2021,1
2021,-1
2021,-1
2021,26
2021,18
2021,3
2021,0
2021,9
2021,9
2021,3
2021,7
2021,30
2021,12
2021,2
2021,3
2021,0
2021,21
2021,12
2021,0
2021,-1
2021,11
2021,2
2021,-1
2021,0
2021,-1
2021,15
2022,-1
2022,1
2022,14
2022,0
2022,1
2022,12
2022,14
2022,-1
2022,-1
2022,9
2022,5
2022,-1
2022,-1
2022,7
2022,7
2022,5
2022,2
2022,10
2022,13
2022,3
2022,28
2022,5
2022,0
2022,-1
2022,-1
2022,20
2022,11
2022,0
2022,11
2022,14
2022,4
2022,-1
2022,4
2022,3
2022,4
2022,17
2022,1
2022,0
2022,30
2022,8
2022,5
2022,24
2022,1
2022,11
2023,20
2023,17
2023,-1
2023,29
2023,8
2023,-1
2023,4
2023,-1
2023,2
2023,4
2023,29
2023,0
2023,30
2023,-1
2023,9
2023,10
2023,9
2023,-1
2023,14
2023,-1
2023,23
2023,-1
2023,-1
2023,2
2023,0
2023,4
2023,8
2023,6
2023,12
2023,14
2023,8
2023,30
2023,5
2023,-1
2023,6
2023,-1
2023,7
2023,7
2023,1
2023,8
2023,0
2023,1
2023,3
2023,3
2023,19
2023,0
2023,-1
2023,-1
2023,-1
2023,15
2024,15
2024,5
2024,1
2024,23
2024,10
2024,0
2024,3
2024,-1
2024,11
2024,-1
2024,10
2024,1
2024,-1
2024,5
2024,24
2024,2
2024,-1
2024,27
2024,1
2024,5
2024,2
2024,3
2024,18
2024,4
2024,11
2024,0
2024,-1
2024,3
2024,18
2024,21
2024,11
2024,12
2024,2
2024,4
2024,10
2024,1
2024,23
2024,2
2024,2
2024,21
2024,2
2024,26
2024,30
2024,1
2024,3
2024,28
2024,-1
2024,-1
2024,28
2024,8
2024,10
2024,-1
2024,5
2024,14
2024,0
2024,-1
2024,0
2024,3
2024,20
2024,16
2024,16
2024,-1
2024,12
2024,1
2024,10
2024,9
2024,4
2024,10
2024,5
2024,12
2024,16
2024,21
2024,2
2024,2
2024,14
2024,7
2024,-1
2024,0
2024,22
2024,-1
2024,24
2024,11
2024,-1
2024,-1
2024,0
2025,0
2025,1
2025,-1
2025,18
2025,9
2025,-1
2025,21
2025,1
2025,20
2025,2
2025,2
2025,-1
2025,7
2025,4
2025,16
2025,16
2025,3
2025,1
2025,2
2025,-1
2025,0
2025,7
2025,19
2025,-1
2025,17
2025,1
2025,-1
2025,-1
2025,10
2025,2
2025,0
2025,14
2025,22
2025,2
2025,-1
2025,2
2025,11
2025,3
2025,25
2025,2
2025,1
2025,12
2025,1
2025,26
2025,25
2025,1
2025,7
2025,5
2025,-1
2025,-1
2025,3
2025,2
2025,7
2025,-1
2025,2
2025,-1
2025,9
2025,6
2025,14
2025,13
2025,20
2025,7
2025,24
2025,-1
2025,1
2025,22
2025,4
2025,20
2025,2
2025,-1
2025,-1
2025,-1
2025,-1
2025,-1
2025,10
2025,0
2025,2
2025,-1
2025,16
2025,0
2025,2
2025,28
2025,13
2025,2
2025,7
2025,2
2025,2
2025,-1
2025,17
2025,16
2025,15
