label,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brazilian Symposium on Databases,3.571428571428571,3.3333333333333335,4.166666666666666,3.225806451612903,0.0,2.941176470588235,0.0,2.7027027027027026,1.4084507042253522,1.4084507042253522
Data Analytics for Brazilian Applications,7.142857142857142,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,2.8169014084507045,1.4084507042253522
Data Ecosystems and Economic Analysis,0.0,0.0,0.0,0.0,0.0,2.941176470588235,2.7777777777777777,5.405405405405405,1.4084507042253522,0.0
Data Management and Governance,3.571428571428571,0.0,8.333333333333332,3.225806451612903,11.11111111111111,11.76470588235294,5.555555555555555,5.405405405405405,7.042253521126761,4.225352112676056
Data Mining and Integrity Constraints Discovery,0.0,3.3333333333333335,0.0,3.225806451612903,0.0,0.0,8.333333333333332,5.405405405405405,2.8169014084507045,2.8169014084507045
Data Models and Dataset Management,0.0,0.0,4.166666666666666,0.0,0.0,5.88235294117647,2.7777777777777777,2.7027027027027026,8.450704225352112,2.8169014084507045
Data Quality and Entity Resolution,7.142857142857142,6.666666666666667,4.166666666666666,0.0,0.0,2.941176470588235,5.555555555555555,5.405405405405405,1.4084507042253522,8.450704225352112
Data Schema and Evolution Analysis,0.0,0.0,0.0,6.451612903225806,0.0,2.941176470588235,0.0,0.0,4.225352112676056,1.4084507042253522
Data Source Quality and Profiling,7.142857142857142,3.3333333333333335,4.166666666666666,0.0,3.7037037037037033,0.0,0.0,2.7027027027027026,0.0,1.4084507042253522
Database Applications in Medical and Scientific Data Analysis,0.0,0.0,0.0,3.225806451612903,0.0,0.0,2.7777777777777777,2.7027027027027026,1.4084507042253522,4.225352112676056
Graph Processing and Database Performance Tuning,10.714285714285714,6.666666666666667,4.166666666666666,22.58064516129032,7.4074074074074066,11.76470588235294,11.11111111111111,10.81081081081081,8.450704225352112,7.042253521126761
Graph-Based Data Organization and Management,3.571428571428571,6.666666666666667,8.333333333333332,3.225806451612903,3.7037037037037033,5.88235294117647,11.11111111111111,2.7027027027027026,7.042253521126761,1.4084507042253522
Hardware-Aware Database Query Optimization,3.571428571428571,20.0,4.166666666666666,3.225806451612903,7.4074074074074066,0.0,8.333333333333332,8.108108108108109,4.225352112676056,2.8169014084507045
High-Dimensional Data Clustering Methods,7.142857142857142,13.333333333333334,8.333333333333332,6.451612903225806,7.4074074074074066,2.941176470588235,11.11111111111111,5.405405405405405,8.450704225352112,11.267605633802818
Multimodal Image Retrieval and Data Processing,0.0,0.0,0.0,6.451612903225806,7.4074074074074066,0.0,0.0,0.0,1.4084507042253522,2.8169014084507045
Ontology Alignment and Topic Modeling,0.0,0.0,4.166666666666666,0.0,0.0,0.0,2.7777777777777777,0.0,2.8169014084507045,1.4084507042253522
Privacy-Preserving Data Management Systems,0.0,0.0,0.0,6.451612903225806,7.4074074074074066,0.0,0.0,0.0,0.0,2.8169014084507045
Public Transportation Data Management,3.571428571428571,0.0,0.0,3.225806451612903,0.0,2.941176470588235,0.0,0.0,1.4084507042253522,1.4084507042253522
RDF Data Storage and Query Processing,0.0,0.0,4.166666666666666,6.451612903225806,3.7037037037037033,0.0,0.0,0.0,1.4084507042253522,0.0
Scientific Workflow Data Processing Optimization,3.571428571428571,0.0,8.333333333333332,0.0,0.0,0.0,0.0,2.7027027027027026,2.8169014084507045,0.0
Semantic Data Classification and Integration,3.571428571428571,0.0,0.0,0.0,0.0,5.88235294117647,0.0,5.405405405405405,0.0,0.0
Sentiment Analysis and Data Mining,3.571428571428571,0.0,4.166666666666666,0.0,3.7037037037037033,11.76470588235294,2.7777777777777777,2.7027027027027026,4.225352112676056,1.4084507042253522
Similarity Join Algorithms and Data Integration,7.142857142857142,3.3333333333333335,0.0,3.225806451612903,11.11111111111111,2.941176470588235,2.7777777777777777,10.81081081081081,1.4084507042253522,0.0
Social Coding Collaboration Analysis,10.714285714285714,20.0,8.333333333333332,6.451612903225806,3.7037037037037033,0.0,0.0,5.405405405405405,0.0,1.4084507042253522
Spatial and Geographic Data Management,3.571428571428571,3.3333333333333335,0.0,3.225806451612903,3.7037037037037033,2.941176470588235,0.0,0.0,2.8169014084507045,1.4084507042253522
Spatial-Textual Data Indexing,3.571428571428571,3.3333333333333335,0.0,0.0,3.7037037037037033,5.88235294117647,8.333333333333332,0.0,5.633802816901409,1.4084507042253522
Temporal Sequences and Pattern Queries in Databases,0.0,0.0,12.5,0.0,11.11111111111111,5.88235294117647,2.7777777777777777,5.405405405405405,1.4084507042253522,2.8169014084507045
Text Classification and Natural Language Processing,7.142857142857142,0.0,0.0,3.225806451612903,0.0,11.76470588235294,2.7777777777777777,5.405405405405405,11.267605633802818,21.12676056338028
Time Series Forecasting for Brazilian Environmental Applications,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,4.225352112676056,5.633802816901409
Urban Traffic Anomaly Detection,0.0,3.3333333333333335,4.166666666666666,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,2.8169014084507045
Web Data Integration and Quality,0.0,3.3333333333333335,0.0,6.451612903225806,3.7037037037037033,0.0,2.7777777777777777,2.7027027027027026,0.0,2.8169014084507045
