year,topic
2016,23
2016,-1
2016,-1
2016,-1
2016,0
2016,-1
2016,2
2016,-1
2016,6
2016,-1
2016,2
2016,-1
2016,7
2016,6
2016,-1
2016,2
2016,2
2016,15
2016,11
2016,7
2016,8
2016,-1
2016,15
2016,3
2016,-1
2016,-1
2016,0
2016,5
2016,-1
2016,-1
2016,0
2016,-1
2016,-1
2016,25
2016,9
2016,-1
2016,3
2016,-1
2016,-1
2016,-1
2016,5
2016,-1
2016,11
2016,0
2016,-1
2016,0
2016,-1
2016,18
2016,0
2016,7
2016,2
2016,17
2016,27
2016,12
2016,-1
2016,27
2016,-1
2016,0
2016,1
2016,-1
2016,7
2016,0
2016,2
2016,1
2016,-1
2016,-1
2016,7
2016,-1
2016,-1
2016,6
2016,0
2016,3
2016,6
2016,17
2016,-1
2016,5
2016,-1
2016,-1
2016,6
2016,-1
2016,-1
2016,5
2016,-1
2016,24
2016,4
2016,12
2016,27
2016,-1
2016,6
2016,-1
2016,17
2016,19
2016,7
2016,33
2016,2
2016,-1
2016,28
2016,-1
2016,9
2016,-1
2016,6
2016,10
2016,7
2016,-1
2016,2
2016,3
2016,0
2016,4
2016,12
2016,15
2016,23
2016,24
2016,31
2016,15
2016,24
2016,6
2016,24
2016,20
2016,-1
2016,-1
2016,2
2016,1
2016,-1
2016,24
2016,4
2016,-1
2016,-1
2016,-1
2016,-1
2016,28
2016,-1
2016,0
2016,-1
2016,0
2016,-1
2016,0
2016,-1
2016,1
2016,29
2016,-1
2016,27
2016,11
2016,2
2016,-1
2016,-1
2016,28
2016,31
2016,-1
2016,10
2016,9
2016,-1
2016,-1
2016,-1
2016,7
2016,4
2016,3
2016,-1
2016,-1
2016,-1
2016,-1
2016,-1
2016,-1
2016,0
2016,6
2016,-1
2016,-1
2016,-1
2016,1
2016,-1
2016,-1
2016,24
2016,-1
2016,5
2016,2
2016,0
2016,24
2017,-1
2017,29
2017,9
2017,-1
2017,10
2017,1
2017,16
2017,20
2017,-1
2017,24
2017,-1
2017,6
2017,11
2017,-1
2017,6
2017,4
2017,-1
2017,6
2017,4
2017,20
2017,5
2017,6
2017,29
2017,0
2017,-1
2017,28
2017,25
2017,15
2017,23
2017,7
2017,27
2017,0
2017,-1
2017,-1
2017,13
2017,-1
2017,-1
2017,1
2017,1
2017,-1
2017,0
2017,-1
2017,11
2017,2
2017,24
2017,20
2017,-1
2017,2
2017,24
2017,-1
2017,0
2017,21
2017,27
2017,-1
2017,-1
2017,16
2017,32
2017,18
2017,-1
2017,25
2017,-1
2017,6
2017,2
2017,3
2017,10
2017,-1
2017,0
2017,25
2017,4
2017,3
2017,4
2017,-1
2017,-1
2017,6
2017,13
2017,1
2017,-1
2017,25
2017,-1
2017,-1
2017,3
2017,9
2017,-1
2017,-1
2017,0
2017,-1
2017,16
2017,-1
2017,2
2017,-1
2017,15
2017,0
2017,1
2017,-1
2017,21
2017,25
2017,27
2017,0
2017,4
2017,2
2017,-1
2017,0
2017,-1
2017,1
2017,16
2017,-1
2017,-1
2017,9
2017,16
2017,30
2017,17
2017,-1
2017,17
2017,16
2017,6
2017,0
2017,-1
2017,27
2017,17
2017,-1
2017,14
2017,-1
2017,5
2017,9
2017,6
2017,-1
2017,-1
2017,-1
2017,-1
2017,1
2017,2
2017,0
2017,2
2017,0
2017,0
2017,14
2017,-1
2017,0
2017,-1
2017,9
2017,-1
2017,-1
2017,-1
2017,-1
2017,4
2017,-1
2017,27
2017,-1
2017,3
2017,9
2017,-1
2017,4
2017,9
2017,13
2017,9
2017,16
2017,2
2017,12
2017,-1
2017,0
2017,3
2017,2
2017,1
2017,27
2017,-1
2017,1
2017,8
2017,-1
2017,20
2017,28
2017,9
2017,-1
2017,-1
2017,29
2017,16
2017,-1
2017,-1
2017,0
2017,15
2017,-1
2017,25
2017,2
2017,-1
2017,11
2017,2
2017,4
2017,34
2017,29
2017,15
2017,27
2017,-1
2017,22
2017,4
2017,3
2017,0
2017,7
2017,-1
2017,1
2017,20
2017,0
2017,15
2017,0
2017,-1
2017,7
2017,17
2017,5
2017,29
2018,9
